Canonical Product ID,Product Name,Product Category
SBD-PT-001,"20V MAX* Cordless Drill/Driver Kit (1.5 Ah)",Power Tools
SBD-PT-002,"15 Amp 7-1/4 in. Corded Circular Saw",Power Tools
SBD-PT-003,"18V Cordless Impact Driver",Power Tools
SBD-PT-004,"20V MAX* Cordless Reciprocating Saw",Power Tools
SBD-PT-005,"12V MAX* Cordless Drill/Driver",Power Tools
SBD-PT-006,"1/2 in. VSR Hammer Drill",Power Tools
SBD-PT-007,"18V Cordless Jig Saw",Power Tools
SBD-PT-008,"20V MAX* Cordless Angle Grinder",Power Tools
SBD-PT-009,"10 in. Compound Miter Saw",Power Tools
SBD-PT-010,"6 Gallon Pancake Air Compressor",Power Tools
SBD-PT-011,"20V MAX* Cordless Brad Nailer",Power Tools
SBD-PT-012,"20V MAX* Cordless Oscillating Multi-Tool",Power Tools
SBD-PT-013,"20V MAX* Cordless Planer",Power Tools
SBD-PT-014,"20V MAX* Cordless Heat Gun",Power Tools
SBD-PT-015,"7 Amp 3/8 in. Corded Drill/Driver",Power Tools
SBD-PT-016,"20V MAX* Cordless Blower",Power Tools
SBD-PT-017,"20V MAX* Cordless Chainsaw",Power Tools
SBD-PT-018,"1-1/2 HP Router Kit",Power Tools
SBD-PT-019,"6 in. Random Orbit Sander",Power Tools
SBD-PT-020,"1/2 in. Impact Wrench Kit",Power Tools
SBD-PT-021,"20V MAX* Cordless LED Work Light",Power Tools
SBD-PT-022,"20V MAX* Cordless String Trimmer",Power Tools
SBD-PT-023,"20V MAX* Cordless Pole Saw",Power Tools
SBD-PT-024,"12V MAX* Cordless Rotary Tool",Power Tools
SBD-PT-025,"20V MAX* Cordless Hammer Drill",Power Tools
SBD-HT-001,"16 oz. Fiberglass Claw Hammer",Hand Tools
SBD-HT-002,"6-Piece Screwdriver Set",Hand Tools
SBD-HT-003,"25 ft. Tape Measure",Hand Tools
SBD-HT-004,"10-Piece SAE Combination Wrench Set",Hand Tools
SBD-HT-005,"8 in. Slip Joint Pliers",Hand Tools
SBD-HT-006,"10 in. Adjustable Wrench",Hand Tools
SBD-HT-007,"12 in. Hacksaw",Hand Tools
SBD-HT-008,"3-Piece Locking Pliers Set",Hand Tools
SBD-HT-009,"9 in. Torpedo Level",Hand Tools
SBD-HT-010,"5-Piece Wood Chisel Set",Hand Tools
SBD-HT-011,"16 oz. Rubber Mallet",Hand Tools
SBD-HT-012,"5-Piece Precision Screwdriver Set",Hand Tools
SBD-HT-013,"8 in. Groove Joint Pliers",Hand Tools
SBD-HT-014,"Folding Utility Knife",Hand Tools
SBD-HT-015,"4-Piece Pry Bar Set",Hand Tools
SBD-HT-016,"10 in. Straight Tin Snips",Hand Tools
SBD-HT-017,"12 in. Adjustable Wrench",Hand Tools
SBD-HT-018,"3 lb. Sledge Hammer",Hand Tools
SBD-HT-019,"Ratcheting Screwdriver Set",Hand Tools
SBD-HT-020,"Electrician's Wire Stripper/Cutter",Hand Tools
SBD-ST-001,"20 in. Structural Foam Toolbox",Storage Solutions
SBD-ST-002,"Portable Rolling Tool Chest",Storage Solutions
SBD-ST-003,"10-Compartment Small Parts Organizer",Storage Solutions
SBD-ST-004,"6 ft. Metal Storage Cabinet",Storage Solutions
SBD-ST-005,"18 in. Cantilever Tool Box",Storage Solutions
SBD-ST-006,"Modular Storage System Starter Kit",Storage Solutions
SBD-ST-007,"Wall Mount Tool Organizer",Storage Solutions
SBD-ST-008,"26 in. 4-Drawer Tool Chest",Storage Solutions
SBD-ST-009,"12 in. Tool Bag with Pockets",Storage Solutions
SBD-ST-010,"Mobile Workbench with Wood Top",Storage Solutions
SBD-ST-011,"Stackable Tool Storage Box",Storage Solutions
SBD-ST-012,"22 in. Pro Organizer",Storage Solutions
SBD-ST-013,"16 in. Plastic Tool Box",Storage Solutions
SBD-ST-014,"Heavy-Duty Tool Belt with Suspenders",Storage Solutions
SBD-ST-015,"Magnetic Tool Holder Strip",Storage Solutions
SBD-MT-001,"25 ft. Auto-Lock Tape Measure",Measuring Tools
SBD-MT-002,"Digital Laser Distance Measurer",Measuring Tools
SBD-MT-003,"48 in. Box Beam Level",Measuring Tools
SBD-MT-004,"Stud Finder with LCD Display",Measuring Tools
SBD-MT-005,"Infrared Thermometer",Measuring Tools
SBD-MT-006,"Laser Level with Tripod",Measuring Tools
SBD-MT-007,"Angle Finder Protractor",Measuring Tools
SBD-MT-008,"Digital Caliper 6 in.",Measuring Tools
SBD-MT-009,"Moisture Meter",Measuring Tools
SBD-MT-010,"Multimeter with Test Leads",Measuring Tools
SBD-AC-001,"20V MAX* Lithium Ion Battery Pack",Accessories
SBD-AC-002,"20V MAX* Battery Charger",Accessories
SBD-AC-003,"14-Piece Drill Bit Set",Accessories
SBD-AC-004,"31-Piece Screwdriving Bit Set",Accessories
SBD-AC-005,"5-Pack Reciprocating Saw Blades",Accessories
SBD-AC-006,"Sanding Disc Assortment (80/120/220 Grit)",Accessories
SBD-AC-007,"Circular Saw Blade 7-1/4 in. 24T",Accessories
SBD-AC-008,"Jig Saw Blade Set (10-Piece)",Accessories
SBD-AC-009,"Replacement Planer Blades",Accessories
SBD-AC-010,"Dust Collection Bag for Miter Saw",Accessories
SBD-GT-001,"20V MAX* Cordless Hedge Trimmer",Garden Tools
SBD-GT-002,"20V MAX* Cordless Leaf Blower",Garden Tools
SBD-GT-003,"14 in. Electric Chainsaw",Garden Tools
SBD-GT-004,"Garden Hand Trowel",Garden Tools
SBD-GT-005,"20V MAX* Cordless Lawn Mower",Garden Tools
SBD-GT-006,"Pruning Shears",Garden Tools
SBD-GT-007,"4-Tine Garden Fork",Garden Tools
SBD-GT-008,"16 in. Manual Reel Mower",Garden Tools
SBD-GT-009,"Garden Hose 50 ft.",Garden Tools
SBD-GT-010,"Watering Can 2 Gallon",Garden Tools
SBD-LT-001,"20V MAX* Cordless LED Work Light",Lighting Tools
SBD-LT-002,"Rechargeable Headlamp",Lighting Tools
SBD-LT-003,"1000 Lumen Portable LED Lantern",Lighting Tools
SBD-LT-004,"LED Penlight",Lighting Tools
SBD-LT-005,"Magnetic Base LED Floodlight",Lighting Tools
SBD-SE-001,"Safety Glasses with Clear Lenses",Safety Equipment
SBD-SE-002,"Noise Reduction Ear Muffs",Safety Equipment
SBD-SE-003,"Work Gloves (Large)",Safety Equipment
SBD-SE-004,"Hard Hat with Suspension",Safety Equipment
SBD-SE-005,"Dust Masks (Box of 50)",Safety Equipment
